table_name,field_name,language,translation,record_id,field_value
stops,stop_name,sv,Rusthållsgatan,1702,
stops,stop_name,sv,Nilsgatan,1695,
stops,stop_name,sv,Uittamo,1703,
stops,stop_name,sv,Pakastovägen S,8279,
stops,stop_name,sv,Grävlingsbacksvägen,1244,
stops,stop_name,sv,Laureusgatan,1554,
stops,stop_name,sv,Becktranevägen,327,
stops,stop_name,sv,Åbolandsgatan,1492,
stops,stop_name,sv,Kuppisgatan,930,
stops,stop_name,sv,Hyrköisvägen,1508,
stops,stop_name,sv,Ingrergatan,1504,
stops,stop_name,sv,Leaf,184,
stops,stop_name,sv,Moikois,359,
stops,stop_name,sv,Sjömansgatan,101,
stops,stop_name,sv,Hälsocentralen,1713,
stops,stop_name,sv,Pihkalagatan,834,
stops,stop_name,sv,Kuppis ishall,499,
stops,stop_name,sv,Ilpoisbacken,510,
stops,stop_name,sv,Katarina,1708,
stops,stop_name,sv,Byggmästarvägen,1534,
stops,stop_name,sv,Norra bågen,959,
stops,stop_name,sv,Svartågatan,464,
stops,stop_name,sv,Selgatan,657,
stops,stop_name,sv,Travargatan,254,
stops,stop_name,sv,Kuuselastigen,415,
stops,stop_name,sv,Prostvik N,8194,
stops,stop_name,sv,Slalombacken,298,
stops,stop_name,sv,Hietalavägen,558,
stops,stop_name,sv,Hampgatan,1474,
stops,stop_name,sv,Kreivilä skola,1175,
stops,stop_name,sv,Eskos stig,1550,
stops,stop_name,sv,Stadssjukhuset,1799,
stops,stop_name,sv,Varkkabergsgatan,473,
stops,stop_name,sv,Välimaavägen,1146,
stops,stop_name,sv,Ahtolavägen,1222,
stops,stop_name,sv,Pajbackavägen V,8149,
stops,stop_name,sv,Gamla Moisiovägen,1582,
stops,stop_name,sv,Pansio skola,771,
stops,stop_name,sv,Finnbergsgatan,1557,
stops,stop_name,sv,Sankta Marias väg,426,
stops,stop_name,sv,Hongaisstigen,295,
stops,stop_name,sv,Kaislahtivägen,1762,
stops,stop_name,sv,Kukolavägen,358,
stops,stop_name,sv,Houtskär,8325,
stops,stop_name,sv,Huvudhälsocentralen,636,
stops,stop_name,sv,Kaistaruddsvägen,355,
stops,stop_name,sv,Verkahovi,1601,
stops,stop_name,sv,Jaakkolavägen,1147,
stops,stop_name,sv,ÅUCS A-sjukhuset,1048,
stops,stop_name,en,TYKS A-hospital,1048,
stops,stop_name,sv,Havskantsvägen,905,
stops,stop_name,sv,Mässfältsgatan,642,
stops,stop_name,sv,Lavstigen,1001,
stops,stop_name,sv,Utmarksvägen,990,
stops,stop_name,sv,Ruskobäcksvägen,1101,
stops,stop_name,sv,Järngatan,844,
stops,stop_name,sv,Lillheikkilävägen,609,
stops,stop_name,sv,Kanta-Haihuvägen,684,
stops,stop_name,sv,Bagarlavägen,728,
stops,stop_name,sv,Tammimäki,542,
stops,stop_name,sv,Ruskobäcksvägen,474,
stops,stop_name,sv,Tövsalagatan,1711,
stops,stop_name,sv,Vastilavägen,1300,
